order_id,customer_id,product_id,order_date,quantity,price,total_amount
1,969,72,2025-09-07,1,15015.13,15015.13
2,259,30,2025-05-22,4,11923.28,47693.12
3,2444,43,2026-05-02,3,20477.25,61431.75
4,3455,68,2026-04-03,3,41179.83,123539.49
5,4892,80,2025-04-16,1,12028.3,12028.3
6,1728,3,2026-04-16,2,25357.17,50714.34
7,759,91,2025-03-10,1,9608.7,9608.7
8,1813,23,2025-02-02,3,43854.59,131563.77
9,1696,67,2026-01-09,1,41467.62,41467.62
10,4606,43,2025-01-06,3,20477.25,61431.75
11,3332,45,2026-04-10,4,26833.09,107332.36
12,4764,52,2025-10-29,1,23496.56,23496.56
13,1869,71,2025-09-27,4,14674.02,58696.08
14,4539,51,2026-08-21,2,5697.63,11395.26
15,632,82,2026-01-30,1,23900.14,23900.14
16,2490,23,2026-07-12,2,43854.59,87709.18
17,2301,2,2026-04-28,2,14385.66,28771.32
18,1656,16,2026-08-20,3,43840.44,131521.32
19,1640,73,2025-06-17,4,14958.13,59832.52
20,644,75,2025-02-21,4,11645.34,46581.36
21,3280,46,2025-04-07,4,10101.66,40406.64
22,1919,95,2026-04-11,2,43589.34,87178.68
23,1018,52,2025-05-25,2,23496.56,46993.12
24,2380,11,2025-04-08,2,43706.96,87413.92
25,2519,63,2025-04-26,3,38903.86,116711.58
26,2616,72,2026-01-18,4,15015.13,60060.52
27,4230,2,2026-03-30,4,14385.66,57542.64
28,354,36,2025-06-01,4,24519.08,98076.32
29,1774,10,2025-08-19,2,2693.21,5386.42
30,3516,4,2026-08-29,3,26660.27,79980.81
31,2996,27,2025-04-05,3,27547.37,82642.11
32,4257,59,2026-04-14,1,27544.34,27544.34
33,922,77,2026-03-15,4,35818.8,143275.2
34,1493,4,2025-08-13,3,26660.27,79980.81
35,89,94,2026-05-11,3,19133.71,57401.13
36,2013,18,2025-01-18,4,791.19,3164.76
37,1680,55,2025-06-11,2,13367.33,26734.66
38,416,43,2025-07-18,3,20477.25,61431.75
39,4804,15,2026-06-01,3,20590.51,61771.53
40,3247,82,2026-01-23,3,23900.14,71700.42
41,3822,29,2026-03-17,3,49931.14,149793.42
42,1263,87,2026-03-24,4,16071.12,64284.48
43,1572,100,2025-05-27,2,36835.0,73670.0
44,4286,54,2026-02-10,4,29989.49,119957.96
45,772,66,2026-05-28,3,21733.34,65200.02
46,1410,19,2025-12-05,1,15172.65,15172.65
47,3316,55,2025-08-05,4,13367.33,53469.32
48,1234,13,2025-07-07,2,12485.08,24970.16
49,1290,88,2025-06-11,4,22537.42,90149.68
50,2298,63,2025-09-17,3,38903.86,116711.58
51,1953,20,2026-05-18,1,28988.14,28988.14
52,3394,59,2026-03-21,2,27544.34,55088.68
53,2020,76,2025-04-25,1,245.11,245.11
54,4150,22,2026-07-24,2,26836.66,53673.32
55,4442,100,2025-07-11,2,36835.0,73670.0
56,2507,99,2026-02-09,2,1180.22,2360.44
57,678,36,2026-05-13,4,24519.08,98076.32
58,388,67,2025-01-28,1,41467.62,41467.62
59,4138,68,2025-03-18,3,41179.83,123539.49
60,4213,30,2026-08-26,2,11923.28,23846.56
61,2153,43,2026-03-20,4,20477.25,81909.0
62,4419,53,2025-01-07,3,3729.41,11188.23
63,195,34,2026-02-18,4,660.78,2643.12
64,2723,12,2025-05-01,3,3962.61,11887.83
65,1549,100,2026-08-05,4,36835.0,147340.0
66,709,39,2026-06-16,1,14841.37,14841.37
67,1314,1,2025-12-16,1,9860.9,9860.9
68,3895,80,2025-04-26,1,12028.3,12028.3
69,3454,6,2025-02-05,1,39609.37,39609.37
70,884,77,2025-01-06,1,35818.8,35818.8
71,3108,100,2026-07-19,2,36835.0,73670.0
72,4423,56,2026-03-05,3,26475.7,79427.1
73,1239,22,2026-07-12,2,26836.66,53673.32
74,4449,96,2025-11-22,2,33224.76,66449.52
75,1015,12,2026-07-07,4,3962.61,15850.44
76,1207,98,2026-05-24,3,34248.24,102744.72
77,3840,48,2025-03-07,2,8037.45,16074.9
78,2723,28,2026-01-06,2,47465.8,94931.6
79,3155,64,2025-08-01,2,14413.18,28826.36
80,2691,73,2025-07-14,3,14958.13,44874.39
81,2418,47,2025-05-19,1,25518.62,25518.62
82,633,29,2026-07-19,1,49931.14,49931.14
83,3742,89,2026-08-26,1,31386.99,31386.99
84,1762,58,2025-07-04,3,46232.85,138698.55
85,4282,54,2025-03-10,2,29989.49,59978.98
86,4779,25,2026-05-26,1,13445.51,13445.51
87,3389,37,2026-07-05,2,1323.97,2647.94
88,2370,56,2025-12-18,4,26475.7,105902.8
89,3540,20,2026-01-28,4,28988.14,115952.56
90,798,3,2026-01-23,1,25357.17,25357.17
91,1754,8,2025-04-03,2,39083.12,78166.24
92,4250,7,2026-07-10,1,29152.05,29152.05
93,1067,78,2026-06-25,1,8725.0,8725.0
94,3368,71,2025-07-29,1,14674.02,14674.02
95,1179,51,2026-02-16,2,5697.63,11395.26
96,4318,73,2026-05-02,4,14958.13,59832.52
97,3953,99,2025-11-28,1,1180.22,1180.22
98,1433,37,2025-03-04,1,1323.97,1323.97
99,1557,15,2025-02-02,3,20590.51,61771.53
100,640,12,2025-08-19,4,3962.61,15850.44
101,3332,76,2026-05-26,4,245.11,980.44
102,3575,91,2026-05-18,2,9608.7,19217.4
103,4349,4,2025-08-26,1,26660.27,26660.27
104,3671,4,2026-01-12,4,26660.27,106641.08
105,1765,27,2025-10-10,3,27547.37,82642.11
106,425,82,2025-08-18,1,23900.14,23900.14
107,513,9,2025-02-08,4,9750.32,39001.28
108,1374,28,2026-01-20,2,47465.8,94931.6
109,1114,25,2026-05-06,1,13445.51,13445.51
110,4548,41,2026-05-04,1,15185.77,15185.77
111,4767,62,2026-04-24,2,47464.16,94928.32
112,4264,83,2025-01-06,1,2419.59,2419.59
113,3342,14,2025-11-13,3,34826.88,104480.64
114,4666,62,2025-08-26,2,47464.16,94928.32
115,567,15,2025-01-11,2,20590.51,41181.02
116,3286,5,2026-03-04,2,40317.93,80635.86
117,1985,59,2025-12-04,4,27544.34,110177.36
118,1469,40,2026-03-29,4,28082.68,112330.72
119,2020,80,2026-02-07,4,12028.3,48113.2
120,960,55,2026-05-01,3,13367.33,40101.99
121,2691,23,2025-03-12,3,43854.59,131563.77
122,2168,57,2025-03-11,2,25969.56,51939.12
123,2031,97,2026-06-11,2,17217.25,34434.5
124,3370,62,2026-08-04,2,47464.16,94928.32
125,3559,69,2026-05-07,3,9605.74,28817.22
126,3719,71,2025-12-01,2,14674.02,29348.04
127,791,9,2026-06-01,2,9750.32,19500.64
128,3614,94,2025-01-17,1,19133.71,19133.71
129,1324,57,2026-05-01,4,25969.56,103878.24
130,4668,5,2026-07-07,1,40317.93,40317.93
131,4787,58,2026-08-26,1,46232.85,46232.85
132,155,44,2025-09-20,3,11767.21,35301.63
133,917,4,2025-10-02,4,26660.27,106641.08
134,955,3,2025-09-07,2,25357.17,50714.34
135,2183,53,2025-08-04,2,3729.41,7458.82
136,2666,25,2025-01-12,4,13445.51,53782.04
137,4888,49,2026-06-16,4,33614.54,134458.16
138,4322,37,2026-02-25,1,1323.97,1323.97
139,2867,56,2026-03-07,3,26475.7,79427.1
140,3548,9,2026-07-07,1,9750.32,9750.32
141,4377,24,2025-07-06,4,45641.76,182567.04
