customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,customer_segment
1,103,15,790963.02,1,4,4,9,Medium Value
2,18,5,164446.03,3,1,1,5,Low Value
3,21,4,368569.33,3,1,1,5,Low Value
4,76,14,980370.64,2,4,4,10,High Value
5,37,7,457617.68,3,1,2,6,Low Value
6,33,11,970623.2,3,3,4,10,High Value
7,9,12,753864.28,4,3,4,11,High Value
8,69,14,863049.9299999999,2,4,4,10,High Value
9,47,10,676591.84,2,2,3,7,Medium Value
10,141,8,523985.97,1,1,2,4,Low Value
11,16,9,309368.37,4,2,1,7,Medium Value
12,9,16,1188109.2,4,4,4,12,High Value
13,25,11,590964.23,3,3,3,9,Medium Value
14,204,10,794535.66,1,2,4,7,Medium Value
15,6,7,469830.15,4,1,2,7,Medium Value
16,43,14,808983.25,2,4,4,10,High Value
17,24,14,870333.36,3,4,4,11,High Value
18,76,9,606132.96,2,2,3,7,Medium Value
19,2,11,795272.26,4,3,4,11,High Value
20,6,8,591490.46,4,1,3,8,Medium Value
21,85,11,647222.35,1,3,3,7,Medium Value
22,40,7,311089.42,3,1,1,5,Low Value
23,47,11,449515.08,2,3,2,7,Medium Value
24,87,11,572060.3,1,3,3,7,Medium Value
25,42,7,322591.77,2,1,1,4,Low Value
26,47,9,526026.91,2,2,2,6,Low Value
27,24,11,767846.95,3,3,4,10,High Value
28,9,23,1757777.24,4,4,4,12,High Value
29,24,8,676570.53,3,1,3,7,Medium Value
30,12,13,674471.59,4,4,3,11,High Value
31,66,6,395509.77,2,1,1,4,Low Value
32,45,11,723383.1,2,3,3,8,Medium Value
33,4,7,358425.53,4,1,1,6,Low Value
34,21,8,640338.07,3,1,3,7,Medium Value
35,19,9,777445.74,3,2,4,9,Medium Value
36,303,7,325267.56,1,1,1,3,Low Value
37,37,7,225784.44999999998,3,1,1,5,Low Value
38,176,10,509786.37,1,2,2,5,Low Value
39,37,8,411294.83,3,1,1,5,Low Value
40,67,4,145865.02,2,1,1,4,Low Value
41,21,10,498660.36,3,2,2,7,Medium Value
42,53,9,388931.57999999996,2,2,1,5,Low Value
43,90,6,339673.71,1,1,1,3,Low Value
44,13,8,448853.56,4,1,2,7,Medium Value
45,2,10,525344.75,4,2,2,8,Medium Value
46,26,10,514303.73,3,2,2,7,Medium Value
47,183,6,341150.48,1,1,1,3,Low Value
48,55,12,702642.67,2,3,3,8,Medium Value
49,114,7,209744.06,1,1,1,3,Low Value
50,64,5,249995.71000000002,2,1,1,4,Low Value
51,44,13,723485.38,2,4,3,9,Medium Value
52,12,10,591970.87,4,2,3,9,Medium Value
53,33,9,399355.72000000003,3,2,1,6,Low Value
54,64,6,344898.77,2,1,1,4,Low Value
55,12,12,576683.0,4,3,3,10,High Value
56,81,8,559653.55,2,1,3,6,Low Value
57,16,6,548349.21,4,1,2,7,Medium Value
58,78,7,438220.43,2,1,2,5,Low Value
59,25,17,833911.0599999999,3,4,4,11,High Value
60,19,11,596430.35,3,3,3,9,Medium Value
61,79,7,376842.21,2,1,1,4,Low Value
62,20,13,952438.15,3,4,4,11,High Value
63,16,12,712408.53,4,3,3,10,High Value
64,37,12,609936.58,3,3,3,9,Medium Value
65,5,9,257578.94,4,2,1,7,Medium Value
66,2,14,1064847.1199999999,4,4,4,12,High Value
67,61,10,962300.11,2,2,4,8,Medium Value
68,122,9,342518.64,1,2,1,4,Low Value
69,76,12,380257.96,2,3,1,6,Low Value
70,93,12,694692.95,1,3,3,7,Medium Value
71,20,13,648539.28,3,4,3,10,High Value
72,46,13,819852.53,2,4,4,10,High Value
73,31,13,728097.75,3,4,4,11,High Value
74,43,11,453325.85,2,3,2,7,Medium Value
