order_id,customer_id,product_id,order_date,quantity,price_order,total_amount,customer_name,age,city,gender,product_name,category,price_product,year,month,month_name,year_month
1,969,72,2025-09-07,1,15015.13,15015.13,Customer_969,25,Delhi,Female,Product_72,Electronics,15015.13,2025,9,Sep,2025-09
2,259,30,2025-05-22,4,11923.28,47693.12,Customer_259,47,Bangalore,Female,Product_30,Beauty,11923.28,2025,5,May,2025-05
3,2444,43,2026-05-02,3,20477.25,61431.75,Customer_2444,59,Bangalore,Female,Product_43,Home,20477.25,2026,5,May,2026-05
4,3455,68,2026-04-03,3,41179.83,123539.49,Customer_3455,19,Pune,Male,Product_68,Home,41179.83,2026,4,Apr,2026-04
5,4892,80,2025-04-16,1,12028.3,12028.3,Customer_4892,28,Delhi,Male,Product_80,Electronics,12028.3,2025,4,Apr,2025-04
6,1728,3,2026-04-16,2,25357.17,50714.34,Customer_1728,64,Delhi,Female,Product_3,Beauty,25357.17,2026,4,Apr,2026-04
7,759,91,2025-03-10,1,9608.7,9608.7,Customer_759,62,Bangalore,Male,Product_91,Beauty,9608.7,2025,3,Mar,2025-03
8,1813,23,2025-02-02,3,43854.59,131563.77,Customer_1813,47,Hyderabad,Male,Product_23,Electronics,43854.59,2025,2,Feb,2025-02
9,1696,67,2026-01-09,1,41467.62,41467.62,Customer_1696,62,Bangalore,Male,Product_67,Clothing,41467.62,2026,1,Jan,2026-01
10,4606,43,2025-01-06,3,20477.25,61431.75,Customer_4606,26,Hyderabad,Male,Product_43,Home,20477.25,2025,1,Jan,2025-01
11,3332,45,2026-04-10,4,26833.09,107332.36,Customer_3332,40,Delhi,Female,Product_45,Home,26833.09,2026,4,Apr,2026-04
12,4764,52,2025-10-29,1,23496.56,23496.56,Customer_4764,22,Chennai,Male,Product_52,Home,23496.56,2025,10,Oct,2025-10
13,1869,71,2025-09-27,4,14674.02,58696.08,Customer_1869,47,Hyderabad,Female,Product_71,Home,14674.02,2025,9,Sep,2025-09
14,4539,51,2026-08-21,2,5697.63,11395.26,Customer_4539,55,Hyderabad,Female,Product_51,Clothing,5697.63,2026,8,Aug,2026-08
15,632,82,2026-01-30,1,23900.14,23900.14,Customer_632,61,Chennai,Male,Product_82,Home,23900.14,2026,1,Jan,2026-01
16,2490,23,2026-07-12,2,43854.59,87709.18,Customer_2490,25,Pune,Female,Product_23,Electronics,43854.59,2026,7,Jul,2026-07
17,2301,2,2026-04-28,2,14385.66,28771.32,Customer_2301,52,Pune,Male,Product_2,Electronics,14385.66,2026,4,Apr,2026-04
18,1656,16,2026-08-20,3,43840.44,131521.32,Customer_1656,30,Pune,Male,Product_16,Sports,43840.44,2026,8,Aug,2026-08
19,1640,73,2025-06-17,4,14958.13,59832.52,Customer_1640,20,Delhi,Male,Product_73,Electronics,14958.13,2025,6,Jun,2025-06
20,644,75,2025-02-21,4,11645.34,46581.36,Customer_644,45,Mumbai,Male,Product_75,Clothing,11645.34,2025,2,Feb,2025-02
21,3280,46,2025-04-07,4,10101.66,40406.64,Customer_3280,37,Delhi,Male,Product_46,Beauty,10101.66,2025,4,Apr,2025-04
22,1919,95,2026-04-11,2,43589.34,87178.68,Customer_1919,42,Mumbai,Male,Product_95,Electronics,43589.34,2026,4,Apr,2026-04
23,1018,52,2025-05-25,2,23496.56,46993.12,Customer_1018,61,Bangalore,Male,Product_52,Home,23496.56,2025,5,May,2025-05
24,2380,11,2025-04-08,2,43706.96,87413.92,Customer_2380,33,Chennai,Male,Product_11,Sports,43706.96,2025,4,Apr,2025-04
25,2519,63,2025-04-26,3,38903.86,116711.58,Customer_2519,27,Pune,Female,Product_63,Sports,38903.86,2025,4,Apr,2025-04
26,2616,72,2026-01-18,4,15015.13,60060.52,Customer_2616,32,Mumbai,Female,Product_72,Electronics,15015.13,2026,1,Jan,2026-01
27,4230,2,2026-03-30,4,14385.66,57542.64,Customer_4230,46,Bangalore,Male,Product_2,Electronics,14385.66,2026,3,Mar,2026-03
28,354,36,2025-06-01,4,24519.08,98076.32,Customer_354,35,Delhi,Male,Product_36,Electronics,24519.08,2025,6,Jun,2025-06
